Hyperparameters
Env: Hopper-v3
Seed: 12
Eval frequency: 5000.0
Number of initial exploration steps: 25000.0
Max env steps: 1000000.0
Batch size: 256
Discount factor: 0.99
Target network update rate: 0.005
Policy noise: 0.2
Noise clip: 0.5
Frequency of delayed policy updates: 2

avg_reward,time,env_steps,grad_steps,seed
3188.392485690015,3594.2587416559873,590000,565000,12
3165.612103893577,3624.377554190987,595000,570000,12
1748.1511688339986,3657.408869922987,600000,575000,12
3180.6867294994945,3696.2653540079864,605000,580000,12
2925.861801082268,3731.4690120319865,610000,585000,12
3164.409049355964,3767.025433476987,615000,590000,12
2763.437222382615,3798.317505095987,620000,595000,12
3221.2547903434493,3825.8612275609885,625000,600000,12
2888.881691306398,3856.4010649799875,630000,605000,12
3086.4202556477803,3887.1382521769883,635000,610000,12
3173.0678843512887,3918.452089305987,640000,615000,12
2272.704101060449,3957.6791224809876,645000,620000,12
1405.8427385450182,3994.2690274199886,650000,625000,12
2236.650783852332,4026.5009997299876,655000,630000,12
2699.0509862090144,4056.555445044987,660000,635000,12
2975.625051961346,4094.341441210987,665000,640000,12
2557.0982256686575,4123.762354873988,670000,645000,12
2788.3929575579614,4155.563848593989,675000,650000,12
3006.867659894505,4191.049759665988,680000,655000,12
2965.1927575559603,4221.252044492989,685000,660000,12
3020.4080235424167,4250.908760816988,690000,665000,12
3087.242640112244,4281.218107913988,695000,670000,12
3225.2507363513782,4310.8193241169865,700000,675000,12
3113.3370495270747,4341.317280763988,705000,680000,12
2980.178293731553,4371.622415468988,710000,685000,12
2207.6346586268946,4401.862999219988,715000,690000,12
2988.176707066451,4432.698747951985,720000,695000,12
3050.9857637224973,4462.303867028986,725000,700000,12
2737.263560470309,4492.709107468985,730000,705000,12
2992.9196183246986,4524.289767648985,735000,710000,12
3183.2795199859934,4554.634146073982,740000,715000,12
3208.664916518739,4588.313589529986,745000,720000,12
2534.262068637946,4617.743767482985,750000,725000,12
2610.308506167387,4647.067704336987,755000,730000,12
1943.957335143598,4678.142641858987,760000,735000,12
2690.4808597431756,4708.565896449989,765000,740000,12
1630.448269569946,4738.187102813987,770000,745000,12
2790.5313661573846,4768.306023618989,775000,750000,12
1619.5498629010704,4798.957753396986,780000,755000,12
2344.1202673346497,4832.036942793988,785000,760000,12
2718.278453748989,4861.385148313988,790000,765000,12
2385.200297316326,4894.067517587988,795000,770000,12
1569.294495575496,4924.186812924989,800000,775000,12
2535.796522378231,4954.81662909799,805000,780000,12
2174.8986470695413,4986.248863964989,810000,785000,12
2623.422106407268,5016.168069923988,815000,790000,12
2866.7661745503997,5046.565539360985,820000,795000,12
2884.484775414818,5076.159414988986,825000,800000,12
2477.9573467460923,5106.070981405985,830000,805000,12
3177.1317366726253,5137.3252687129825,835000,810000,12
2154.7476862683075,5168.157787587981,840000,815000,12
2218.526638379592,5196.936781497978,845000,820000,12
2884.740192620589,5228.031776861979,850000,825000,12
2241.776524849187,5262.862400683978,855000,830000,12
3173.4964875934365,5290.569567834977,860000,835000,12
2833.575405472377,5322.472647853978,865000,840000,12
3212.4159596069235,5356.191739300979,870000,845000,12
2982.8642044487224,5389.828028865981,875000,850000,12
3213.854561376063,5424.932093302981,880000,855000,12
3218.267051598896,5454.306762292985,885000,860000,12
1784.8551588608589,5484.097896721985,890000,865000,12
1247.2442323333391,5514.050672587986,895000,870000,12
1335.3418956528635,5545.293844448985,900000,875000,12
2772.1039195767116,5573.398019451986,905000,880000,12
3162.5326401468064,5604.783744686985,910000,885000,12
3114.302769558507,5636.577733110986,915000,890000,12
3211.8764903850465,5666.415200343985,920000,895000,12
2720.3901441908934,5696.383086299986,925000,900000,12
3208.0504092873493,5725.003858744985,930000,905000,12
3199.8350160205746,5755.636719205988,935000,910000,12
3204.964401122745,5787.5793172799895,940000,915000,12
3246.935954641317,5820.279112757988,945000,920000,12
3205.469438371033,5852.190985923986,950000,925000,12
3189.855141892408,5883.280001223986,955000,930000,12
3193.875853894706,5911.493273401986,960000,935000,12
3266.746957037667,5942.970399661986,965000,940000,12
3226.5823926057574,5980.319453785985,970000,945000,12
3174.7092257649024,6011.968314668986,975000,950000,12
3221.5891794930817,6046.952270164984,980000,955000,12
3178.4552478157657,6084.0422922219805,985000,960000,12
3205.918055482452,6117.515033488984,990000,965000,12
2628.459746142393,6150.633452701983,995000,970000,12
3236.38820046789,6182.6847547229845,1000000,975000,12
